"","eventid","iyear","imonth","iday","approxdate","extended","resolution","country","country_txt","region","region_txt","provstate","city","latitude","longitude","specificity","vicinity","location","summary","crit1","crit2","crit3","doubtterr","alternative","alternative_txt","multiple","success","suicide","attacktype1","attacktype1_txt","attacktype2","attacktype2_txt","attacktype3","attacktype3_txt","targtype1","targtype1_txt","targsubtype1","targsubtype1_txt","corp1","target1","natlty1","natlty1_txt","targtype2","targtype2_txt","targsubtype2","targsubtype2_txt","corp2","target2","natlty2","natlty2_txt","targtype3","targtype3_txt","targsubtype3","targsubtype3_txt","corp3","target3","natlty3","natlty3_txt","gname","gsubname","gname2","gsubname2","gname3","gsubname3","motive","guncertain1","guncertain2","guncertain3","individual","nperps","nperpcap","claimed","claimmode","claimmode_txt","claim2","claimmode2","claimmode2_txt","claim3","claimmode3","claimmode3_txt","compclaim","weaptype1","weaptype1_txt","weapsubtype1","weapsubtype1_txt","weaptype2","weaptype2_txt","weapsubtype2","weapsubtype2_txt","weaptype3","weaptype3_txt","weapsubtype3","weapsubtype3_txt","weaptype4","weaptype4_txt","weapsubtype4","weapsubtype4_txt","weapdetail","nkill","nkillus","nkillter","nwound","nwoundus","nwoundte","property","propextent","propextent_txt","propvalue","propcomment","ishostkid","nhostkid","nhostkidus","nhours","ndays","divert","kidhijcountry","ransom","ransomamt","ransomamtus","ransompaid","ransompaidus","ransomnote","hostkidoutcome","hostkidoutcome_txt","nreleased","addnotes","scite1","scite2","scite3","dbsource","INT_LOG","INT_IDEO","INT_MISC","INT_ANY","related"
"568",197010220001,1970,10,22,NA,0,NA,217,"United States",1,"North America","California","San Francisco",37.777125,-122.419644,1,0,NA,NA,1,1,1,0,NA,NA,0,1,0,3,"Bombing/Explosion",NA,NA,NA,NA,15,"Religious Figures/Institutions",86,"Place of Worship",NA,"Church",217,"United States",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Black Liberation Army",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Explosive",0,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",0,0,0,0,NA
"569",197010240001,1970,10,24,NA,0,NA,217,"United States",1,"North America","Michigan","Detroit",42.331685,-83.047924,1,0,NA,NA,1,1,1,0,NA,NA,0,1,0,2,"Armed Assault",NA,NA,NA,NA,3,"Police",25,"Police Security Forces/Officers","Detroit Police","Policeman",217,"United States",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"National Committee to Combat Fascism",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Firearms",4,"Rifle/Shotgun (non-automatic)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shotgun",1,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",0,0,0,0,NA
"570",197010240002,1970,10,24,NA,0,NA,98,"Italy",8,"Western Europe","Lazio","Rome",41.89052,12.494249,1,0,NA,NA,1,1,1,0,NA,NA,0,0,0,8,"Unarmed Assault",NA,NA,NA,NA,8,"Educational Institution",49,"School/University/Educational Building",NA,"US Education '70 Exhibit",217,"United States",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,0,NA,NA,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Chemical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tear gas",0,0,0,0,0,0,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CBRN Global Chronology",-9,-9,1,1,NA
"571",197010240003,1970,10,24,NA,0,NA,217,"United States",1,"North America","Illinois","Cairo",37.005105,-89.176269,1,0,NA,"10/24/1970: Black militants ignited a fire in a White owned grocery store across the street from the Pyramid Courts Housing Project in Cairo, Illinois, United States.  Due to sniper fire, firefighters were unable to get close to the building.  There were no casualties but the store burnt down.",1,1,1,0,NA,NA,1,1,0,7,"Facility/Infrastructure Attack",2,"Armed Assault",NA,NA,1,"Business",7,"Retail/Grocery/Bakery","White owned store","White owned grocery store near the Pyramid Courts project in Cairo Illinois",217,"United States",3,"Police",25,"Police Security Forces/Officers","Cairo Police and Fire Departments","Policemen and firemen responding to a fire in Cairo Illinois",217,"United States",NA,NA,NA,NA,NA,NA,NA,NA,"Black Nationalists",NA,NA,NA,NA,NA,"To kill police and firefighters",0,NA,NA,0,-99,-99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"Incendiary",18,"Arson/Fire",5,"Firearms",4,"Rifle/Shotgun (non-automatic)",NA,NA,NA,NA,NA,NA,NA,NA,"Sniper-fire",0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",NA,"Grocery store destroyed",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"This might be part of a multiple attack with 197010240004 which took place in Cairo an hour later.  There are conflicting reports as to whether one or two grocery stores were set on fire.  During the fire, police received a phone call stating ""when are you going to send the Pigs?""","""Armed Negroes Attack Police Station in Cairo, Ill."" New York Times, October 25, 1970.","""Cairo, Ill., Blacks Raid Police Station,"" Washington Post, October 26, 1970.","""Riflemen Attack Police Station,"" Deseret News, October 24, 1970.","Hewitt Project",-9,-9,0,-9,"197010240003, 197010240004"
"572",197010240004,1970,10,24,NA,0,NA,217,"United States",1,"North America","Illinois","Cairo",37.005105,-89.176269,1,0,"Washington Avenue","10/24/1970: Fifteen to eighteen Black militants, dressed in military fatigues and armed with rifles, opened fire on police headquarters in Cairo, Illinois, United States, three separate times during a six hour period.  Police were able to repel each of the three attacks.  One Black militant was injured and one bystander was hit by a stray bullet.  Buildings in the surrounding area were also damaged by bullets.  In response to this attack, the mayor claimed that there was an ""open armed insurrection"" taking place in Cairo.",1,1,1,0,NA,NA,1,1,0,2,"Armed Assault",NA,NA,NA,NA,3,"Police",22,"Police Building (headquarters, station, school)","Cairo Police Department","Cairo Police Headquarters",217,"United States",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Black Panthers",NA,NA,NA,NA,NA,"To kill police",1,NA,NA,0,16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Firearms",4,"Rifle/Shotgun (non-automatic)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rifles",0,0,0,2,2,1,1,3,"Minor (likely < $1 million)",NA,"Police station and buildings in surrounding area were damaged by bullets",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"This might be part of a multiple attack with (197010240003) which took place in Cairo an hour earlier.  Snipers fired upon the police headquarters less than a week earlier (197010210003).  This first attack on the police station took place at 8:15 PM, the second attack took place at 10:15 PM, and the third attack took place at 2:10 AM on October 25th.  The final attack took thirty-five minutes and hundreds of rounds were fired.  Some of the gunmen emerged from the building that acted as the headquarters of the Black United Front, an organization which was directing a boycott of White owned businesses in Cairo at the time.  The Mayor of Cairo, Albert Thomas, believed that some of the Black militants were members of the Black Panther Party, however, the Black Panthers denied any involvement in the attacks.  State troopers were ordered into Cairo as a result of the attacks.","""Armed Negroes Attack Police Station in Cairo, Ill."" New York Times, October 25, 1970.","""State Troopers on Duty in Cairo,"" New York Times, October 26, 1970.","""Riflemen Attack Police Station,"" Deseret News, October 24, 1970.","Hewitt Project",0,0,0,0,"197010240004, 197010240003"
"573",197010250001,1970,10,25,NA,0,NA,217,"United States",1,"North America","District of Columbia","Washington",38.89037,-77.031959,1,0,"On conveyor belt","10/25/1970: Unknown perpetrators sent a mail bomb that exploded at the main post office in Washington D.C., United States.  The bomb caused no damage to the building, but one person was injured.  Minutes after the explosion, an anonymous phone caller told the post office, apparently unaware that the bomb already detonated, to evacuate the building because there was a bomb.  Authorities were unable to determine who the mailbomb was intended for.",1,1,1,1,2,"Other Crime Type",0,1,0,3,"Bombing/Explosion",NA,NA,NA,NA,2,"Government (General)",21,"Government Building/Facility/Office","Post Office","Main Post Office, Washington D.C.",217,"United States",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,0,NA,NA,0,-99,-99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Explosives/Bombs/Dynamite",14,"Time Fuse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The bomb was wrapped in brown paper and police discovered remnants of black powder, a battery, and a timing device.",0,0,0,1,1,0,1,3,"Minor (likely < $1 million)",NA,"One bag of mail was destroyed",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Walter Smith, a post office employee, was treated for shock.","Henry Aubin and B. D. Colen, ""Mail Parcel Explodes in Post Office,"" Washington Post, October 26, 1970.","""Package Explodes in D.C. Post Office,"" Baltimore Sun, October 26, 1970.","Marcia McKnight Trick, ""Chronology of Incidents of Terroristic, Quasi-Terroristic, and Political Violence in the United States: January 1965 to March 1976,"" National Advisory Committee on Criminal Justice Standards and Goals: Report of the Task Force on Disorders and Terrorism, 1976.","Hewitt Project",-9,-9,0,-9,NA
"574",197010260001,1970,10,26,NA,0,NA,217,"United States",1,"North America","California","Irvine",33.683734,-117.794609,1,0,NA,NA,1,1,1,-9,NA,NA,0,1,0,7,"Facility/Infrastructure Attack",NA,NA,NA,NA,1,"Business",3,"Bank/Commerce","Bank of America","Bank of America Branch",217,"United States",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"Incendiary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Incendiary",0,NA,NA,0,NA,NA,1,3,"Minor (likely < $1 million)",5e+05,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",-9,-9,0,-9,NA
"575",197010270001,1970,10,27,NA,0,NA,11,"Argentina",3,"South America","Buenos Aires","Buenos Aires",-34.6037,-58.381503,1,0,NA,NA,1,1,1,-9,NA,NA,0,1,0,1,"Assassination",NA,NA,NA,NA,14,"Private Citizens & Property",82,"Labor Union Related","Confederation General de Trabajadores","Union leader, Jose Alonso",11,"Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",-9,-9,0,-9,NA
"576",197010270002,1970,10,27,NA,0,NA,209,"Turkey",10,"Middle East & North Africa","Ankara","Ankara",39.918392,32.865597,1,0,NA,NA,1,1,0,1,1,"Insurgency/Guerilla Action",0,1,0,3,"Bombing/Explosion",NA,NA,NA,NA,4,"Military",27,"Military Barracks/Base/Headquarters/Checkpost",NA,"U.S. Military Annex Exchange",217,"United States",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Turkish People's Liberation Army",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Explosive",0,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",0,1,1,1,NA
"577",197010270003,1970,10,27,NA,0,NA,603,"United Kingdom",8,"Western Europe","England","London",51.500152,-0.126236,1,0,NA,NA,1,1,1,0,NA,NA,0,1,0,7,"Facility/Infrastructure Attack",NA,NA,NA,NA,6,"Airports & Aircraft",44,"Airport",NA,"Heathrow Airport",216,"Great Britain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1st of May Group",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"Incendiary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Incendiary",0,NA,NA,0,NA,NA,1,3,"Minor (likely < $1 million)",5000,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",1,1,1,1,NA
"578",197010280001,1970,10,28,NA,0,NA,217,"United States",1,"North America","Florida","Stuart",27.19999,-80.255359,1,0,NA,"10/28/1970: Unknown perpetrators threw five firebombs at the Martin County Courthouse in Stuart, Florida, United States.  Two of the bombs landed inside the building and three of the bombs landed outside the building.  There were no casualties and the building sustained less than $500 in damages.",1,1,1,1,2,"Other Crime Type",0,1,0,7,"Facility/Infrastructure Attack",NA,NA,NA,NA,2,"Government (General)",14,"Judge/Attorney/Court","Courthouse","Martin County Courthouse",217,"United States",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left-Wing Militants",NA,NA,NA,NA,NA,NA,0,NA,NA,0,-99,-99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"Incendiary",19,"Molotov Cocktail/Petrol Bomb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Five firebombs made out of beer bottles",0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",500,"Minor damage to doorway area",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Authorities believed that the perpetrators were 'hippie-types.'  Some officials suspected that this attack was in response to a proposed ban on drinking liquor at the beach.","Marcia McKnight Trick, ""Chronology of Incidents of Terroristic, Quasi-Terroristic, and Political Violence in the United States: January 1965 to March 1976,"" National Advisory Committee on Criminal Justice Standards and Goals: Report of the Task Force on D","""Martin Courthouse Firebombed,"" Palm Beach Post, October 27, 1970.",NA,"Hewitt Project",-9,-9,0,-9,NA
"579",197010280002,1970,10,28,NA,0,NA,217,"United States",1,"North America","Wisconsin","Whitefish Bay",43.111261,-87.898632,1,0,"5300 North Marlborough Drive","10/28/1970: Suspected revolutionary leftists bombed a police car parked at the Whitefish Bay Police Station in Whitefish Bay, Wisconsin, United States.  The blast was coordinated to go off during the middle of a shift change, however there were no casualties.  Two police cars were damaged in the attack.  This incident was believed to be linked to the many bombings in the Milwaukee, Wisconsin area during this time period.",1,1,1,0,NA,NA,0,1,0,3,"Bombing/Explosion",NA,NA,NA,NA,3,"Police",23,"Police Patrol (including vehicles and convoys)","Whitefish Bay Police Department","Whitefish Bay police car",217,"United States",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left-Wing Militants",NA,NA,NA,NA,NA,"To kill police",0,NA,NA,0,-99,-99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Explosives/Bombs/Dynamite",14,"Time Fuse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Six inch pipe bomb consisting of black power and connected to a pocket watch",0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",NA,"Gas tank blew up and the resulting fire wrecked the police car and the vehicle next to it",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Authorities were unsure whether the pipe bomb was placed under a pile of leaves or attached under the gas tank of the vehicle.  Authorities linked the bomb used in this incident with the attempted bombing at Likeside Laboratories in Milwaukee Wisconsin on September 4th (197009040004).  Both bombs were built according to an instruction manual circulated by revolutionaries.  The Whitefish Bay Chief of Police believed that this incident might also be linked with bombs discovered at Whitefish Bay State Bank, Honeywell Inc. and the Wisconsin Motor Division (197006290002, 197007000001, and 197008050001).  There were other bombings in the Milwaukee area during this time period as well (197012220001, 197007220002, and 197007210004).","Alex P. Dobish, ""Bay Offers $2,500 Reward for Squad Car Bomber,"" Milwaukee Journal, November 3, 1970.","Edward S. Kerstein, ""Bomb Demolishes Police Car in Bay,"" Milwaukee Journal, October 28, 1970.","""2 Bombs Tied to Rebel Manual,"" Milwaukee Journal, November 2, 1970.","Hewitt Project",-9,-9,0,-9,NA
"580",197010290001,1970,10,29,NA,0,NA,217,"United States",1,"North America","California","El Toro",33.62905,-117.691249,1,0,NA,"10/29/1970: Two unknown perpetrators threw two Molotov cocktails into the El Toro Marine Corps Air Station in El Toro, California, United States.  The firebombs landed in the motor pool area but caused no damage.",1,1,1,0,NA,NA,0,0,0,7,"Facility/Infrastructure Attack",NA,NA,NA,NA,4,"Military",27,"Military Barracks/Base/Headquarters/Checkpost","Marine Corps Air Station","Marine Corps Air Station, El Toro California",217,"United States",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left-Wing Militants",NA,NA,NA,NA,NA,"To protest the US military",0,NA,NA,0,2,-99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"Incendiary",19,"Molotov Cocktail/Petrol Bomb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Two thrown Molotov cocktails filled with gasoline",0,0,0,0,0,0,0,NA,NA,NA,"Firebombs flared up impacting the ground but caused no damage",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"The two perpetrators threw the firebombs over an eight foot fence.  After launching the Molotov cocktails, they were fired upon by Military Police stationed at the base, but escaped unscathed.","""El Toro Motor Pool Firebombed; Pair Flee,"" Los Angeles Times, October 30, 1970.",NA,NA,"Hewitt Project",-9,-9,0,-9,NA
"581",197010300001,1970,10,30,NA,0,NA,217,"United States",1,"North America","New York","New York City",40.728224,-73.794852,1,0,"Queens","10/30/1970: In a series of three related incidents, unknown perpetrators bombed the United States Naval Militia Armory in Queens, New York, United States.  Minutes before the blast, an anonymous caller stated that a bomb was set to go off in the armory in five minutes.  There were no casualties but the building and surrounding area sustained around $7,500 in damages.",1,1,1,0,NA,NA,1,1,0,3,"Bombing/Explosion",NA,NA,NA,NA,4,"Military",27,"Military Barracks/Base/Headquarters/Checkpost","National Guard Armory","United State Naval Militia Armory, Queens New York",217,"United States",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left-Wing Militants",NA,NA,NA,NA,NA,NA,0,NA,NA,0,-99,-99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Explosives/Bombs/Dynamite",17,"Other Explosive Type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemade pipe bomb with explosives intended to be used underwater",0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",7500,"Building damaged and shrapnel riddled the surrounding area",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"This is part of a multiple attack with 197010300002 and 197010300003.  The bomb was placed on the window sill and detonated at 3:12 AM.  Authorities estimated that there were between $5,000 to $10,000 in damages.  Later in the day there was a bomb scare are New York City Hall and a bomb was discovered against a tree stump in the Bronx (197010300004).","Martin Arnold, ""3 Bombs Damage Buildings In City,"" New York Times, October 31, 1970.","""Bombs Used in 3 Attacks Differed,"" New York Times, November 1, 1970.","Marcia McKnight Trick, ""Chronology of Incidents of Terroristic, Quasi-Terroristic, and Political Violence in the United States: January 1965 to March 1976,"" National Advisory Committee on Criminal Justice Standards and Goals: Report of the Task Force on Disorders and Terrorism, 1976.","Hewitt Project",-9,-9,0,-9,"197010300001, 197010300002, 197010300003"
"582",197010300002,1970,10,30,NA,0,NA,217,"United States",1,"North America","New York","New York City",40.844782,-73.864827,1,0,"The Bronx","10/30/1970: In a series of three related incidents, unknown perpetrators bombed the Police Motorcycle Headquarters in the Bronx, New York, United States.  There were no casualties but two holes were blown into the ceiling of the facility and a window was shattered.",1,1,1,0,NA,NA,1,1,0,3,"Bombing/Explosion",NA,NA,NA,NA,3,"Police",22,"Police Building (headquarters, station, school)","New York Police Department","Police Motorcycle Headquarters, the Bronx New York",217,"United States",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left-Wing Militants",NA,NA,NA,NA,NA,NA,0,NA,NA,0,-99,-99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Explosives/Bombs/Dynamite",17,"Other Explosive Type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemade pipe bomb containing two propane tanks",0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",NA,"Window shattered and two holes torn in ceiling",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"This is part of a multiple attack with 197010300001 and 197010300003.  The bomb was placed inside the air conditioner unit and detonated at 3:15 AM.  The bomb was less powerful than those at the National Guard Armories, but it caused more fire damage.  Later in the day there was a bomb scare are New York City Hall and a bomb was discovered against a tree stump in the Bronx (197010300004).","Martin Arnold, ""3 Bombs Damage Buildings In City,"" New York Times, October 31, 1970.","""Bombs Used in 3 Attacks Differed,"" New York Times, November 1, 1970.","Marcia McKnight Trick, ""Chronology of Incidents of Terroristic, Quasi-Terroristic, and Political Violence in the United States: January 1965 to March 1976,"" National Advisory Committee on Criminal Justice Standards and Goals: Report of the Task Force on Disorders and Terrorism, 1976.","Hewitt Project",-9,-9,0,-9,"197010300002, 197010300001, 197010300003"
"583",197010300003,1970,10,30,NA,0,NA,217,"United States",1,"North America","New York","New York City",40.728224,-73.794852,1,0,"Queens","10/30/1970: In a series of three related incidents, unknown perpetrators bombed the Army Reserve Center in Queens, New York, United States.  There were no casualties but a hole was torn into the building.",1,1,1,0,NA,NA,1,1,0,3,"Bombing/Explosion",NA,NA,NA,NA,4,"Military",27,"Military Barracks/Base/Headquarters/Checkpost","National Guard Armory","Army Reserve Center, Queens New York",217,"United States",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left-Wing Militants",NA,NA,NA,NA,NA,NA,0,NA,NA,0,-99,-99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Explosives/Bombs/Dynamite",17,"Other Explosive Type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemade pipe bomb with explosives intended to be used underwater",0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",NA,"Hole torn into building",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"This is part of a multiple attack with 197010300001 and 197010300002.  The bomb was placed on the window sill and detonated at 3:22 AM.  Later in the day there was a bomb scare are New York City Hall and a bomb was discovered against a tree stump in the Bronx (197010300004).","Martin Arnold, ""3 Bombs Damage Buildings In City,"" New York Times, October 31, 1970.","""Bombs Used in 3 Attacks Differed,"" New York Times, November 1, 1970.","Marcia McKnight Trick, ""Chronology of Incidents of Terroristic, Quasi-Terroristic, and Political Violence in the United States: January 1965 to March 1976,"" National Advisory Committee on Criminal Justice Standards and Goals: Report of the Task Force on Disorders and Terrorism, 1976.","Hewitt Project",-9,-9,0,-9,"197010300003, 197010300001, 197010300002"
"584",197010300004,1970,10,30,NA,0,NA,217,"United States",1,"North America","New York","New York City",40.844782,-73.864827,1,0,"The Bronx","10/30/1970: On a day of multiple bombings in New York City, postman Anthony Muranelli discovered two apparent homemade bombs in a bag lying against a tree stump in the Bronx, New York, United States.  He turned the bombs over to the police and they were subsequently disarmed.",1,1,1,1,2,"Other Crime Type",0,0,0,3,"Bombing/Explosion",NA,NA,NA,NA,20,"Unknown",NA,NA,NA,NA,217,"United States",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left-Wing Militants",NA,NA,NA,NA,NA,NA,0,NA,NA,0,-99,-99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Explosives/Bombs/Dynamite",17,"Other Explosive Type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Two fifteen inch devices attached to two bottles of gasoline",0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Earlier in the day there was a multiple attack against two National Guard Armories and the Police Motorcycle Headquarters (197010300001, 197010300002, and 197010300003).  On the same day there was also a bomb scare at New York City Hall.","Martin Arnold, ""3 Bombs Damage Buildings In City,"" New York Times, October 31, 1970.",NA,NA,"Hewitt Project",-9,-9,0,-9,NA
"585",197011000001,1970,11,0,NA,0,NA,94,"Iran",10,"Middle East & North Africa","Tehran","Tehran",35.696442,51.422974,1,0,NA,NA,1,1,1,-9,NA,NA,0,0,0,6,"Hostage Taking (Kidnapping)",NA,NA,NA,NA,7,"Government (Diplomatic)",45,"Diplomatic Personnel (outside of embassy, consulate)","Staet dept","Mc Arthur, U.S. Ambassador",217,"United States",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,0,NA,NA,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,1,1,1,NA,NA,NA,"Iran",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",-9,-9,1,1,NA
"586",197011010001,1970,11,1,NA,0,NA,153,"Pakistan",6,"South Asia","Sindh","Karachi",24.893379,67.028061,1,0,NA,NA,1,1,1,0,NA,NA,0,1,0,1,"Assassination",NA,NA,NA,NA,2,"Government (General)",18,"Government Personnel (excluding police, military)","Polish Govt","Polish Deputy Foreign Minister",161,"Poland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Run down by car",1,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",-9,-9,1,1,NA
